counter	obsInterval	tpInterval1	norm_tpInterval1	tpInterval2	norm_tpInterval2	spInterval1	norm_spInterval1	spInterval2	norm_spInterval2	norm_aveElementInterval	aveLastSlip	aveSlip	norm_lastEventSlip	norm_nextEventSlip	eventMag	eventID	firstSectionID	numSectionsInEvent	sectionsInEventString
0	22.12956511548689	39.72970827596772	0.55700296	39.564378185750265	0.5593305	9.093274103757876	2.433619	9.151844329581435	2.4180443	0.5263173	0.6530809	0.15106757	1.0324175	0.23881394	5.92181	245	23	1	San_Bernardino + 
1	13.812668176830027	15.137593864305439	0.9124745	15.002062300184871	0.92071795	6.520614394189379	2.1183078	6.467459185789487	2.1357179	0.8537552	0.55828726	0.24068023	1.0155642	0.43781447	6.05662	464	13	1	SAF-Parkfield + 
2	35.65836502080421	61.28991985809156	0.5817982	60.866871848835146	0.5858419	28.492810964685958	1.2514864	27.92201774257695	1.2770698	0.62428	1.1452255	0.5253598	1.130461	0.5185867	6.4912	502	8	3	SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + 
3	11.306609933145756	16.445530211148196	0.6875187	15.213072268915814	0.74321675	17.110857990454562	0.6607857	16.23198561028207	0.6965636	0.627147	0.49576214	0.52896637	0.92819047	0.99035716	6.49872	801	13	1	SAF-Parkfield + 
4	15.901824289876394	15.985736304561357	0.9947508	15.337619867753817	1.0367856	13.246037501042412	1.2004967	13.271199564285126	1.1982206	0.9408223	0.55123293	0.4769659	0.9905249	0.8570726	6.38549	977	13	1	SAF-Parkfield + 
5	26.247861083405688	16.185074920445274	1.6217325	15.012020528704959	1.7484562	19.54030987080652	1.3432674	17.81512931607096	1.4733466	1.3976388	0.47095263	0.55889094	0.89729834	1.0648458	6.53376	1164	13	1	SAF-Parkfield + 
6	48.80462596714285	60.65167552345504	0.8046707	60.74773892071341	0.80339825	11.240318641511635	4.3419256	11.234569054183849	4.3441477	0.7241994	2.6025662	0.48131353	0.9640088	0.17828192	6.11915	1200	1	2	SAF-Mendo_Offs + SAF-N_Mendocin + 
7	47.78977195761229	55.67318629000551	0.8583984	55.7204044501722	0.85767096	46.03206331792451	1.0381844	45.847190434182316	1.0423708	0.88103753	1.1978085	0.9855663	1.1183807	0.9202125	6.69876	1387	20	3	Imperial-N + Imperial-C + Imperial-S + 
8	17.566143907257654	18.73286527070849	0.9377179	17.32010603984432	1.0142053	16.049156304886353	1.0945213	15.545156649527847	1.1300075	0.9573692	0.5560577	0.4990734	1.0517423	0.94396067	6.47525	1388	13	1	SAF-Parkfield + 
9	61.44539731105919	58.36538190712776	1.0527713	57.9444927646483	1.0604182	14.313228357867624	4.2929096	14.243187429365591	4.31402	0.9115065	2.364337	0.58117163	0.9326377	0.22924928	6.19509	1408	1	1	SAF-Mendo_Offs + 
