counter	obsInterval	tpInterval1	norm_tpInterval1	tpInterval2	norm_tpInterval2	spInterval1	norm_spInterval1	spInterval2	norm_spInterval2	norm_aveElementInterval	aveLastSlip	aveSlip	norm_lastEventSlip	norm_nextEventSlip	eventMag	eventID	firstSectionID	numSectionsInEvent	sectionsInEventString
10	59.051215065075986	65.8454839746271	0.89681494	61.825799977105035	0.95512253	64.03256041240451	0.92220604	60.40512669906978	0.97758615	0.87441653	1.0513195	1.0271616	1.0046294	0.9815443	6.94589	1626	8	3	SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + 
11	76.82539302352332	110.18143820430808	0.6972626	109.11644256671153	0.704068	90.15174696751696	0.85217863	86.74765666732696	0.8856192	0.7605357	0.97781944	0.7773672	1.145956	0.91103595	6.72325	1742	41	3	Rodgers_Creek + Hayward + Hayward + 
12	37.01743881612281	46.88635541035281	0.7895141	46.22879543248298	0.8007442	37.40504312190497	0.9896377	37.0504868981147	0.999108	0.73382473	0.7063545	0.5661142	1.0240657	0.8207467	6.53147	1759	24	3	San_Jacinto + Cleghorn + San_Bernardino + 
13	19.49265817501314	20.41273102973307	0.9549265	20.125645223593498	0.96854824	14.466645225608126	1.3474208	13.976532673938268	1.3946705	1.0897921	0.6620734	0.459786	1.234027	0.8569871	6.45149	1834	13	1	SAF-Parkfield + 
14	66.66223129042147	48.5533197543136	1.3729696	46.542028499083074	1.4323018	18.5561299358815	3.5924642	17.705457013756277	3.7650669	1.1908591	0.87640667	0.33340147	0.93914133	0.3572669	6.0541	2014	21	2	Imperial-C + Imperial-S + 
15	56.70961127959261	49.16785028450287	1.153388	45.44709389689333	1.247816	57.61028412186513	0.9843661	55.75550438719274	1.0171124	0.9393356	0.82905287	1.0171005	0.83737546	1.0273108	6.82731	2022	20	3	Imperial-N + Imperial-C + Imperial-S + 
16	22.56438340046852	15.579947439606936	1.4482965	14.436696040982431	1.562988	18.20293440385351	1.2396014	16.644733007285023	1.3556471	1.2073345	0.45617583	0.5259462	0.86738324	1.0000461	6.50995	2035	13	1	SAF-Parkfield + 
17	98.84391825985921	126.00153363351227	0.78446597	118.84942562382561	0.8316735	114.51762066516267	0.86313283	109.80087498957862	0.9002107	0.7695728	1.090093	1.0070993	1.0331578	0.9544988	6.74459	2209	41	1	Rodgers_Creek + 
18	18.38334537018767	16.935448376445102	1.085495	16.092963880837363	1.142322	14.243214278907718	1.290674	14.12045172195837	1.301895	1.0407811	0.53026414	0.46526974	1.0069267	0.8835078	6.41913	2213	13	1	SAF-Parkfield + 
19	60.95999495652507	63.25003476698831	0.9637939	60.040071521588786	1.0153219	60.6287105883923	1.0054642	59.17046770172982	1.0302436	0.93891764	1.0534953	1.0382369	1.0109406	0.9962984	6.90409	2236	8	3	SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + 
20	60.28222873154731	68.22543438574773	0.8835741	68.01114639959457	0.8863581	10.70351143241352	5.6320047	10.719219961277458	5.6237516	0.823583	0.72826684	0.11478195	1.0257448	0.16166738	5.70347	2384	43	1	Hayward + 
21	30.41328672324093	16.341275704804318	1.861133	15.218129870094115	1.9984905	20.60469787489467	1.4760365	19.032424673839422	1.5979723	1.6070747	0.4741131	0.5929455	0.90323114	1.1296184	6.55697	2525	13	1	SAF-Parkfield + 
22	1.9989326172145958	53.364400556667874	0.037458166	55.31595928752279	0.036136635	37.47091130265072	0.05334625	40.08382607152917	0.049868807	0.04102615	2.0414317	1.4792908	1.1513485	0.8343063	6.81529	2765	44	4	Berryessa + SAF-Parkfield + SAF-Cholame + SAF-Carrizo + 
23	122.58742584510699	118.65147491947253	1.0331724	120.17256476405124	1.020095	51.664039391918756	2.3727806	48.01257908802677	2.5532355	0.9490865	0.4942717	0.1974765	1.1959187	0.47780573	6.05652	2941	46	1	Concord + 
24	80.1369231992051	71.95585190224418	1.1136957	68.3939585940628	1.171696	71.89723684507358	1.1146036	69.68467745747972	1.1499934	1.0449187	2.4510338	2.4972894	0.97483915	0.9932361	7.26219	3124	1	3	SAF-Mendo_Offs + SAF-N_Mendocin + SAF-N_Mendocin + 
25	28.587144053567066	75.29369399687265	0.37967515	74.55032289430585	0.38346103	64.31076463590183	0.4445157	61.74342907188756	0.46299896	0.40449345	1.198734	0.99280524	1.0958306	0.90757936	6.9927	3129	16	4	SAF-Mojave + San_Jacinto + Anza + San_Bernardino + 
26	1.719962287306725	43.4597019596245	0.039576028	43.47064444109938	0.039566062	25.45021723914957	0.06758144	25.582290632955125	0.067232534	0.039342392	0.73355377	0.4316933	1.0726136	0.63122857	6.26473	3130	24	3	San_Jacinto + Imperial-N + San_Bernardino + 
27	103.46430613265868	129.99856911986228	0.79588807	129.54752267599775	0.7986591	40.69203131168158	2.5426183	40.60143269484969	2.548292	0.71151847	2.3091762	0.7237179	0.9691187	0.30373108	6.34954	3191	48	1	Calaveras + 
28	28.567914922570044	17.77616627180195	1.607091	16.65080386554346	1.7157079	18.073282642110964	1.5806711	17.442138194986047	1.6378677	1.5509393	0.5293863	0.5545455	1.0036395	1.0513377	6.52529	3314	13	1	SAF-Parkfield + 
29	0.6896397427385196	74.75314040727775	0.009225562	73.72567686233769	0.009354132	59.71147634064758	0.011549534	58.55891583551185	0.011776853	0.010029548	2.4111726	1.9151491	1.1350156	0.90152156	7.09455	3369	16	4	SAF-Mojave + SAF-San_Bernar + SAF-Coachella + Hayward + 
30	60.867057362324694	59.35611750037872	1.0254555	57.21734234574586	1.0637869	54.89139562967572	1.1088634	53.53133105039038	1.1370361	1.0551835	1.0885385	1.0184135	1.0913304	1.0210257	6.79761	3414	20	3	Imperial-N + Imperial-C + Imperial-S + 
31	14.057364439483829	16.589489553549278	0.8473657	16.508517559668082	0.8515219	5.330491008133407	2.6371613	5.327143027783967	2.6388187	0.87858766	0.62039435	0.2001954	1.1168153	0.36038578	6.05375	3465	13	1	SAF-Parkfield + 
32	245.35912258981	213.55363628877691	1.1489344	211.56096594663555	1.1597561	56.69115025387459	4.3279967	56.47588884871033	4.3444934	1.0859082	2.2369459	0.5971494	0.96859235	0.2585643	6.18046	3567	38	1	N_Maacama + 
33	38.19195990784721	37.86980478691244	1.0085069	38.16628646497602	1.0006727	30.428675376417914	1.2551305	30.18097045836659	1.2654318	0.96426636	1.2434553	0.9832942	0.96527165	0.76331335	6.77741	3681	13	2	SAF-Parkfield + SAF-Cholame + 
34	58.20587322429423	71.1979993092011	0.8175212	61.60815288690269	0.9447755	68.47269473521496	0.8500596	59.20660675977494	0.9830976	0.8335835	1.2490071	1.2003195	1.0631747	1.0217311	7.22718	3682	36	7	N_San_Gregorio + SAF-N_Mid_Peni + SAF-S_Mid_Peni + SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + SAF-Parkfield + 
35	201.14059024230747	171.8083951549501	1.1707262	162.00673409539473	1.241557	187.3424694774827	1.0736519	175.34892760658988	1.1470877	1.0682712	0.8970109	0.970885	0.9620827	1.0413158	6.88136	4026	44	2	Berryessa + Bartlett_Spring + 
36	50.600454856828044	51.71947321678019	0.9783637	51.59168869873439	0.9807869	14.623239994018105	3.4602766	14.599263400854953	3.4659595	0.9521593	1.179938	0.33389536	1.0707793	0.30300596	6.1656	4076	20	2	Imperial-N + Imperial-C + 
37	33.49881238919379	21.425104925555303	1.5635308	20.547462408942792	1.6303139	20.660540218198438	1.6213909	19.80163689560154	1.6917194	1.622546	0.6412412	0.61796564	1.096681	1.056874	6.575	4128	13	2	SAF-Parkfield + SAF-Cholame + 
38	183.36688620994178	129.07742316826173	1.4205961	120.27177105377567	1.5246046	147.9872204226954	1.2390724	137.6396347362715	1.3322245	1.3377233	1.0047998	1.1498982	0.9785623	1.1198717	6.878	4174	40	2	S_Maacama + Rodgers_Creek + 
39	122.36573457758927	139.5793547175256	0.876675	130.8389922972856	0.9352391	121.2181641131091	1.009467	120.99754116280656	1.0113076	0.84400016	2.116796	1.9575748	1.0169548	0.94046146	7.2127	4181	25	4	Anza + Cerro_Prieto-N + Cerro_Prieto-S + Cerro_Prieto-W + 
40	18.123398694242095	19.02625170329039	0.952547	18.094562904473847	1.0015936	16.572581497500114	1.0935773	15.954024920899824	1.1359766	0.9687048	0.5701272	0.5026827	1.08135	0.95342916	6.50308	4356	13	1	SAF-Parkfield + 
41	11.145432130410065	14.204011096511136	0.78466797	14.132863793476899	0.7886181	6.038676687648005	1.8456746	6.127706377586483	1.8188587	0.70286447	0.5380075	0.23326851	0.9644253	0.41815412	6.07386	4485	13	1	SAF-Parkfield + 
42	80.61211673420325	48.13426342215071	1.6747346	41.801056417606716	1.9284708	65.60525799828795	1.2287447	61.40042892859526	1.3128917	1.3177717	0.7560813	1.1105871	0.76559305	1.1245587	6.85681	4578	20	3	Imperial-N + Imperial-C + Imperial-S + 
43	87.11212648703325	65.55592163620305	1.3288217	65.54205970489394	1.3291026	14.104133847318405	6.1763544	14.127083652158463	6.166321	1.2023786	0.7041957	0.15178393	0.99962246	0.21546088	5.78469	4588	43	1	Hayward + 
44	26.737885378330024	27.572576795755094	0.96972746	11.785422998620252	2.2687252	21.023552024732926	1.2718062	18.417464725647786	1.4517679	0.8432478	0.3623205	0.5662101	0.6853464	1.0710132	6.54371	4711	13	2	SAF-Parkfield + San_Juan + 
45	3.4377461891909773	158.32350362736486	0.02171343	144.44785698524868	0.023799218	113.30499479045703	0.030340642	102.16359237073027	0.033649426	0.021859689	0.88830966	0.6282745	1.0415221	0.7366371	6.5278	4717	32	6	Temecula + Julian + Coyote_Mt. + SAF-N_Coast_On + Chino_Central + Glen_Ivy + 
46	153.87197921415392	128.4979295360424	1.1974666	114.57737267123217	1.3429526	161.15777604198988	0.9547909	152.69042301017907	1.0077382	1.0269471	0.9831254	1.3101525	0.84115076	1.1209514	6.99314	4918	41	3	Rodgers_Creek + Hayward + Hayward + 
47	1.4411027707855208	69.76520405272431	0.020656468	53.240846072917556	0.027067617	48.407469354171795	0.029770257	49.508284456110296	0.029108316	0.021393888	1.8815	1.7495935	1.0697811	0.99478185	6.86424	4926	123	5	Cerro_Prieto-N + Snta_Ynez-E + SAF-Parkfield + SAF-Cholame + SAF-Carrizo + 
48	22.95847894405363	51.487800909891035	0.44590133	50.44573766504937	0.45511237	37.43535432684524	0.61328334	36.69872076397123	0.6255934	0.5050302	0.75911903	0.5522508	1.2356333	0.8989096	6.49094	4932	23	1	San_Bernardino + 
49	23.92516784978409	89.914214210518	0.2660888	84.91012729184638	0.2817705	49.74935173621485	0.48091418	56.703621795835716	0.42193368	0.23858382	1.8805629	1.2558541	0.9230249	0.616403	6.40537	5038	9	4	SAF-S_Cruz_Mts + Cerro_Prieto-W + SAF-N_Mid_Peni + SAF-N_Coast_On + 
50	2.060317653421821	144.97779853438752	0.0142112635	142.80279724098907	0.014427712	122.98004110036315	0.01675327	121.89654672220747	0.016902182	0.016102891	2.4657362	2.1047537	1.1566827	0.98734504	7.21494	5123	24	5	San_Jacinto + Anza + Imperial-N + Superstion_Hll + San_Bernardino + 
51	44.87570264334947	70.17816432262326	0.63945395	59.78783938274814	0.75058246	57.97017734245598	0.77411705	58.15615221611919	0.77164155	0.6360693	1.087795	1.0581077	1.0681437	1.0389926	6.83463	5176	83	5	Laguna_Salada + Imperial-N + Imperial-C + Imperial-S + Superstion_Hll + 
52	23.94230645737631	22.533114489086504	1.0625387	21.974099746298553	1.0895694	16.72983174810308	1.4311146	15.892739460919351	1.5064933	1.2913363	0.69945323	0.5058787	1.3215963	0.9558428	6.49867	5201	13	1	SAF-Parkfield + 
53	19.122337412576275	17.037421289483646	1.1223727	15.984119684301104	1.1963335	18.457465795860504	1.0360218	16.995609358273306	1.125134	1.0238622	0.5043016	0.5362143	0.9629031	1.0238365	6.50917	5396	13	1	SAF-Parkfield + 
54	121.33036495581113	166.4378478161789	0.72898304	148.92134196344344	0.81472784	180.50895582744883	0.67215705	178.63230072379451	0.67921853	0.6823942	0.62967145	0.75529575	1.0341374	1.2404557	6.34309	5565	29	1	Superstion_Hll + 
55	121.91653345355765	143.61344683967368	0.8489214	134.9161249330169	0.9036469	126.66091074309017	0.9625427	118.6069877781596	1.0279034	0.8952045	1.1539549	1.0144607	1.109226	0.97513884	6.8176	5639	40	2	S_Maacama + Rodgers_Creek + 
56	55.098623811349235	54.3603673492811	1.0135808	52.22296048116464	1.0550652	54.260347204675774	1.0154492	53.0085283362913	1.0394294	0.88887495	0.914458	0.9282138	0.9121898	0.9259114	6.85991	5669	8	3	SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + 
57	160.72145105424647	86.29314836593427	1.8625053	82.8747956033832	1.9393284	81.20192944912303	1.9792812	80.35416593806393	2.0001633	0.6844632	0.18315534	0.1775847	0.5075132	0.49207726	5.83063	5677	76	1	Owl_Lk + 
58	76.11902220705595	78.93533506465818	0.96432126	75.65907967185147	1.0060792	72.85164579666115	1.0448498	69.65942279817966	1.0927311	0.96886456	2.7252314	2.5091245	1.0454502	0.96254754	7.35747	5817	1	4	SAF-Mendo_Offs + SAF-N_Mendocin + SAF-N_Mendocin + SAF-N_Coast_Of + 
59	80.01689741380828	72.48327046923586	1.1039361	68.63111670557498	1.1658982	76.44774371112415	1.0466875	74.68169149698475	1.0714393	0.9928159	0.62685907	0.6821235	0.94966644	1.0333898	6.59155	5829	43	1	Hayward + 
60	61.69037234220306	61.03022851063164	1.0108167	58.81665689210652	1.0488589	62.37584997946063	0.9890105	59.487452176712274	1.0370317	1.0339372	1.0892758	1.1016989	1.1038153	1.1164042	6.83363	5836	20	3	Imperial-N + Imperial-C + Imperial-S + 
61	5.8783755756980085	22.939341256453748	0.25625739	22.200663785590447	0.26478377	13.4871366288443	0.43585053	13.866048095061501	0.42394024	0.25238308	0.8493961	0.5305142	1.0415205	0.6505109	6.34728	5848	17	3	SAF-San_Bernar + SAF-Parkfield + SAF-Carrizo + 
62	150.2842620524557	130.16106350323247	1.1546023	124.39668264082486	1.2081051	139.7540005925032	1.0753485	130.43121445631394	1.1522108	1.043239	2.035218	2.1339471	0.9576927	1.0041507	7.23971	5882	123	2	Cerro_Prieto-N + Cerro_Prieto-S + 
63	186.69918412088657	147.27146583366297	1.2677214	107.90155716457745	1.7302734	112.98280640590403	1.6524566	94.06357308993371	1.9848192	1.103884	0.4060957	0.3540154	1.0026519	0.87406546	6.2487	5899	46	1	Concord + 
64	17.48866771252853	17.061711046378544	1.0250243	15.406432663111842	1.1351537	18.791826245987735	0.9306529	17.597064875523753	0.99384004	0.94151795	0.4862676	0.5554097	0.9218976	1.0529816	6.53194	6026	13	1	SAF-Parkfield + 
65	13.261881948268819	15.799722972976321	0.83937436	15.697990976725984	0.84481394	7.915910081370841	1.6753452	7.793235690591527	1.701717	0.81841046	0.57764506	0.2867707	1.0500158	0.5212782	6.1801	6168	13	1	SAF-Parkfield + 
66	80.62576548079439	78.35119261656963	1.0290304	72.2134486818046	1.1164924	74.93442432977027	1.075951	71.917719752558	1.1210835	1.0039288	1.0562099	1.0518845	0.9912114	0.9871522	7.03534	6221	24	4	San_Jacinto + Anza + Cleghorn + San_Bernardino + 
67	22.114333691982615	329.60989526951874	0.06709245	163.90358744338434	0.13492282	122.98672326679898	0.17981073	63.47803786851275	0.3483777	0.06788878	2.8646095	1.1094314	1.0219351	0.3957841	6.42619	6372	73	3	Pinto_Mtn + SAF-Coachella + N_Maacama + 
68	186.18484201132253	201.87536006247967	0.9222762	193.80566942312177	0.960678	211.12087984076373	0.8818874	204.16156737675774	0.91194856	0.89773566	1.7605145	1.8545866	1.0149232	1.0691551	7.3251	6439	40	5	S_Maacama + Rodgers_Creek + Bartlett_Spring + N_Maacama + C_Maacama + 
69	31.95094680421501	20.30884151438612	1.573253	18.62599197503887	1.7153957	21.500026879748496	1.4860886	20.46391787080484	1.5613309	1.2351584	0.5840262	0.6416552	0.7625996	0.8378493	6.60295	6445	13	2	SAF-Parkfield + SAF-Cholame + 
70	66.86094673945612	61.68312428592196	1.0839423	59.702013074537426	1.1199111	58.194763735404905	1.1489168	56.458369640354896	1.1842521	1.1201506	1.1058843	1.0458009	1.1069555	1.0468141	6.82709	6593	20	3	Imperial-N + Imperial-C + Imperial-S + 
71	12.012492847895514	16.969718167874486	0.7078782	16.18875596493852	0.7420269	14.882717142017041	0.8071438	14.721734459162217	0.81596994	0.6743102	0.5328176	0.4845338	0.9992742	0.9087202	6.45292	6634	13	1	SAF-Parkfield + 
72	214.6022631115577	188.3845329967733	1.1391714	175.54613148369663	1.2224836	170.76272760689096	1.2567278	163.82129299058616	1.3099779	1.125449	0.9859151	0.9200652	1.0799963	1.0078627	6.84236	6677	170	2	Great_Val_4a + Berryessa + 
73	81.2710599562569	73.8940867560961	1.0998317	70.89069823715592	1.1464278	70.49347855257201	1.1528876	67.45391362280753	1.2048383	1.067025	2.6111176	2.4845307	1.0058653	0.9571009	7.30786	6699	1	3	SAF-Mendo_Offs + SAF-N_Mendocin + SAF-N_Mendocin + 
74	36.85912908521756	52.538735569557645	0.70156103	48.16362017892027	0.76528984	45.07243518295172	0.8177754	42.23096072464523	0.87279874	0.7208728	0.68691	0.6022984	1.109036	0.972428	6.54302	6701	24	2	San_Jacinto + San_Bernardino + 
75	136.11779162345667	122.11179151703608	1.1146982	126.2753839697634	1.077944	121.20098404443935	1.123075	123.44707653745226	1.1026409	1.1210864	2.7016711	2.6411593	1.0461462	1.0227146	7.59251	6733	4	7	SAF-N_Coast_Of + SAF-N_Coast_On + SAF-N_Mid_Peni + SAF-S_Mid_Peni + SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + 
76	18.64572252944954	16.596329924255866	1.1234847	15.627721202238165	1.1931185	16.677178429398907	1.1180382	16.017080948217817	1.164115	0.99834293	0.4930572	0.50534153	0.94143325	0.96488875	6.49199	6804	13	1	SAF-Parkfield + 
77	13.600596182389165	15.216232507755041	0.89382154	15.079546122371733	0.9019234	10.127561066057039	1.3429291	10.146702096949967	1.3403957	0.8567182	0.5705208	0.3838912	1.0321352	0.69450164	6.20524	6937	13	1	SAF-Parkfield + 
78	165.07337041335586	169.67433993034032	0.9728835	139.65211261986565	1.1820327	186.27968833715283	0.8861587	147.55296549490933	1.1187397	0.8951702	0.5883667	0.6216537	1.045072	1.1041971	6.70219	6981	45	2	Greenvalley + Concord + 
79	106.56911579701672	157.61436827793247	0.67613834	156.59745169165714	0.68052906	107.25266754688629	0.9936267	108.28513883889848	0.98415273	0.7104376	2.4184387	1.6723194	1.1303192	0.78160137	6.92383	7105	48	3	Calaveras + SAF-S_Cruz_Mts + Hayward + 
80	114.91560633811777	78.76220621619764	1.4590197	73.81636676217494	1.5567768	84.52581164732129	1.3595327	79.71377521589604	1.4416028	1.332769	0.6305102	0.6808835	0.97417635	1.0520062	6.63663	7122	43	1	Hayward + 
81	55.425544646585855	61.569485771430806	0.9002113	58.05634841059679	0.95468533	54.04384585098081	1.0255662	53.55378149791087	1.0349511	0.8781395	1.0615879	0.9792564	1.0474457	0.96621084	6.81221	7124	25	5	Anza + Imperial-N + Imperial-C + Imperial-S + Superstion_Hll + 
82	141.6691099580158	123.90930103857079	1.1433291	119.3125921645321	1.1873777	126.96744568581776	1.1157908	123.02313806094523	1.1515647	1.0991664	1.0653968	1.0985299	1.0215396	1.0533088	6.80498	7128	41	1	Rodgers_Creek + 
83	7.558857590786157	20.39814268618293	0.37056598	18.133097441132858	0.41685417	9.794361161489888	0.77175605	9.930206693971181	0.7611984	0.36963153	0.68119997	0.37304473	1.052814	0.57655126	6.23397	7131	3	2	SAF-N_Mendocin + SAF-Parkfield + 
84	118.61930968714945	130.7771966740837	0.90703356	125.08792567196197	0.9482874	129.42233062439894	0.91652894	125.46839398146786	0.94541186	0.8694586	2.17847	2.185096	1.001498	1.0045441	7.20227	7202	123	3	Cerro_Prieto-N + Cerro_Prieto-S + Cerro_Prieto-W + 
85	186.67473212902004	94.9080348169142	1.9669013	87.11109121154678	2.1429503	299.4448567108646	0.6234027	268.6849037044847	0.69477195	0.68730414	0.1693407	0.5223134	0.47085273	1.4522953	6.22064	7283	76	1	Owl_Lk + 
86	115.16262033571488	100.55493942922847	1.1452706	88.17685076375008	1.3060415	105.33465892902647	1.0933022	94.97925412631396	1.2125028	1.0749308	2.850536	3.0704405	0.95179385	1.02522	7.5235	7373	1	6	SAF-Mendo_Offs + SAF-N_Mendocin + SAF-N_Mendocin + SAF-N_Coast_Of + SAF-N_Coast_On + Bartlett_Spring + 
87	24.76190531350053	17.108485298663815	1.4473464	15.472195578565382	1.6004132	19.286446252405796	1.2839019	18.212208475761933	1.3596323	1.2174401	0.48905376	0.5756616	0.8310748	0.97825205	6.54844	7399	13	2	SAF-Parkfield + SAF-Cholame + 
88	62.48818674709179	35.7407903008386	1.7483717	34.34046695710608	1.8196661	16.77654626375815	3.7247348	16.374711375274504	3.8161397	1.3975321	0.5230142	0.24939108	0.85601515	0.40817735	6.16034	7403	23	1	San_Bernardino + 
89	13.915137304906976	16.93915956326102	0.8214774	15.685253383399223	0.8871477	4.250458559310116	3.2737968	4.281816267851025	3.2498212	0.81694347	0.5669288	0.15476225	1.0483396	0.28617948	5.86764	7539	13	1	SAF-Parkfield + 
90	141.42788163512108	137.43592672688462	1.0290459	133.0419773738212	1.063032	133.3249764819733	1.0607756	129.027800621406	1.0961039	1.0432806	0.6832784	0.6626623	1.0591211	1.027165	6.85219	7562	32	2	Temecula + Glen_Ivy + 
91	18.824250354956515	14.596286629642465	1.2896602	12.643881774176636	1.4888031	16.90147479502747	1.1137638	15.12029616434949	1.2449657	0.565504	0.40434736	0.4835423	0.7118074	0.8512211	6.47268	7639	75	2	Hosgri + SAF-Parkfield + 
92	78.32986291964535	71.7373760750653	1.0918975	55.63225508857293	1.4079937	45.607377462556435	1.7174823	45.432383823763296	1.7240976	1.0250865	0.9884887	0.8072546	1.0203946	0.8333107	6.75212	7842	84	5	Elmore_Ranch + Imperial-N + Imperial-C + Imperial-S + Superstion_Hll + 
93	14.928765670704758	121.56540724510762	0.12280439	113.81380373103205	0.13116832	92.51786212686957	0.1613609	94.30802341239952	0.15829794	0.13629517	1.8588094	1.5402406	1.1351093	0.9405706	7.26385	7897	72	8	Garlock_W + Cleghorn + San_Bernardino + SAF-Mojave + Elmore_Ranch + Cucamonga + San_Jacinto + Anza + 
94	109.86432675193156	78.64106761911664	1.397035	74.15014719977766	1.4816468	77.9121982594804	1.4101043	72.94763583022883	1.5060711	1.3737524	1.2496169	1.2293514	1.015525	0.999056	7.18258	7947	8	5	SAF-S_Mid_Peni + SAF-S_Cruz_Mts + SAF-S_Cruz_Mts + SAF-N_Mid_Peni + SAF-S_Mid_Peni + 
95	25.392798289168855	17.353254667581126	1.4632874	16.35152026795992	1.5529319	19.273583794187857	1.3174922	18.155062159967603	1.3986622	1.2390941	0.5168479	0.5738553	0.8707177	0.9667562	6.5474	7982	13	2	SAF-Parkfield + SAF-Cholame + 
96	176.66387658444253	168.9674286976451	1.0455499	155.65962375955763	1.134937	153.79594822035992	1.1486901	148.6284054502037	1.188628	1.132423	1.3519738	1.2909045	1.1252631	1.0744345	6.9737	8143	42	2	Hayward + Hayward + 
97	142.47300197347974	162.75055129436646	0.87540716	158.37560201270074	0.89958936	157.52002321052262	0.9044755	152.52022121524536	0.9341253	0.85251755	0.9771836	0.94105566	1.0265995	0.9886446	6.79115	8177	44	1	Berryessa + 
98	55.3339020039226	49.04857541219478	1.128145	32.992099011819505	1.6771865	23.52282952722349	2.3523488	21.84754472599555	2.5327287	1.0016239	1.0736252	0.7109604	0.8429012	0.55817366	6.64899	8189	13	3	SAF-Parkfield + SAF-Cholame + San_Juan + 
99	68.22881330436114	75.19117021657246	0.9074046	72.53322488599902	0.940656	65.05918715956489	1.0487192	62.47170762069378	1.0921555	0.9140521	2.6464431	2.279339	1.0541416	0.9079153	7.20782	8267	1	3	SAF-Mendo_Offs + SAF-N_Mendocin + SAF-N_Mendocin + 
100	8.568180406418504	78.39930683887701	0.10928898	70.61082704651415	0.12134372	65.44330887995294	0.13092524	59.309118321761375	0.14446649	0.11154274	2.2961972	1.9286764	1.1195819	0.9403858	7.14668	8446	113	8	N_Frontal-W + SAF-Parkfield + SAF-Cholame + SAF-Carrizo + SAF-Mojave + SAF-San_Bernar + SAF-Coachella + Calaveras + 
101	172.61584099616599	203.15021772587087	0.84969556	196.16711270613635	0.87994283	185.8971385203032	0.92855567	179.51309743374944	0.96157795	0.8924864	1.8196319	1.6651505	1.0980194	1.0048008	7.22359	8480	40	3	S_Maacama + N_Maacama + C_Maacama + 
102	129.3458923611653	130.93103094436358	0.98789334	125.24497720255404	1.0327431	117.52970309606172	1.1005379	109.96731983911042	1.1762213	0.96409273	1.1078408	0.97270393	1.0339459	0.9078229	6.80532	8489	41	2	Rodgers_Creek + SAF-N_Coast_On + 
