seg_index	mag	part_rate
0	5.9	-1.6070082
1	5.9	-1.6070082
1	7.6	-4.8063016
2	5.9	-1.6070082
2	7.3	-3.0672066
2	7.4	-4.599162
2	7.6	-3.037247
2	7.7	-3.1162143
2	8.0	-4.761707
2	8.2	-3.0529647
3	5.5	-14.539413
3	5.9	-1.6070082
3	6.1	-2.208146
3	6.4	-2.5882761
3	6.5	-2.658237
3	6.6	-2.816153
3	6.7	-3.015047
3	6.8	-3.1198742
3	6.9	-3.143137
3	7.0	-3.691311
3	7.1	-2.7435489
3	7.3	-3.0672066
3	7.4	-4.599162
3	7.6	-3.037247
3	7.7	-3.1162143
3	7.9	-3.26787
3	8.0	-3.0016377
3	8.2	-3.000602
4	6.0	-2.4746048
4	6.1	-2.208146
4	6.3	-2.4049654
4	6.4	-2.5882761
4	6.5	-2.3953528
4	6.6	-2.564881
4	6.7	-2.8183336
4	6.8	-3.0375416
4	6.9	-3.132027
4	7.0	-3.691311
4	7.1	-2.7435489
4	7.3	-3.0672066
4	7.4	-4.599162
4	7.6	-3.037247
4	7.7	-3.1162143
4	7.9	-3.26787
4	8.0	-3.0016377
4	8.2	-3.000602
5	6.3	-2.4049654
5	6.4	-2.5882761
5	6.5	-2.3953528
5	6.6	-2.564881
5	6.7	-2.8183336
5	6.8	-3.0375416
5	6.9	-3.132027
5	7.0	-3.691311
5	7.1	-2.7435489
5	7.3	-3.0672066
5	7.4	-4.599162
5	7.6	-3.037247
5	7.7	-3.1162143
5	7.9	-3.26787
5	8.0	-3.0016377
5	8.2	-3.000602
6	6.0	-2.919345
6	6.3	-3.099027
6	6.5	-2.3381193
6	6.6	-2.4874551
6	6.7	-2.6834853
6	6.8	-3.0375416
6	6.9	-3.0385976
6	7.0	-3.691311
6	7.1	-2.7435489
6	7.3	-3.0672066
6	7.4	-4.599162
6	7.6	-3.037247
6	7.7	-3.1162143
6	7.9	-3.26787
6	8.0	-3.0016377
6	8.2	-3.000602
7	6.0	-3.9793122
7	6.3	-3.099027
7	6.5	-3.246555
7	6.6	-2.4874551
7	6.7	-2.6834853
7	6.8	-3.0375416
7	6.9	-3.0385976
7	7.0	-3.691311
7	7.1	-2.7435489
7	7.3	-3.0672066
7	7.4	-4.599162
7	7.6	-3.037247
7	7.7	-3.1162143
7	7.9	-3.26787
7	8.0	-3.0016377
7	8.2	-3.000602
8	6.0	-3.5510254
8	6.3	-3.8755338
8	6.5	-3.1419523
8	6.6	-3.2744906
8	6.7	-2.6834853
8	6.8	-3.0375416
8	6.9	-3.0385976
8	7.0	-3.691311
8	7.1	-2.7435489
8	7.3	-3.0672066
8	7.4	-4.599162
8	7.6	-3.037247
8	7.7	-3.1162143
8	7.9	-3.26787
8	8.0	-3.0016377
8	8.2	-3.000602
9	6.0	-3.9565017
9	6.3	-3.7657723
9	6.5	-3.8114448
9	6.6	-3.2744906
9	6.7	-3.2571046
9	6.8	-3.0375416
9	6.9	-3.0385976
9	7.0	-3.691311
9	7.1	-2.7435489
9	7.3	-3.0672066
9	7.4	-4.599162
9	7.6	-3.037247
9	7.7	-3.1162143
