Period,f1,f2,f3,philny,phiS2S,F,Ymax
0.01,0.79,-0.62,0.1,0.3,0.3,1,NA
0.02,0.73,-0.66,0.1,0.3,0.3,0.84948500216801,NA
0.05,0.92,-0.83,0.1,0.3,0.3,0.65051499783199,NA
0.1,0.78,-0.61,0.1,0.3,0.3,0.5,NA
0.2,0.85,-0.42,0.1,0.3,0.3,0.34948500216801,NA
0.5,1.35,-0.49,0.1,0.3,0.3,0.15051499783199,NA
1,0.85,0,0.1,0.3,0.3,0,NA
