seg_index	mag	part_rate
0	5.0	-Infinity
0	5.1	-Infinity
0	5.2	-Infinity
0	5.3	-Infinity
0	5.4	-Infinity
0	5.5	-Infinity
0	5.6	-Infinity
0	5.7	-Infinity
0	5.8	-Infinity
0	5.9	-3.7022374
0	6.0	-Infinity
0	6.1	-Infinity
0	6.2	-Infinity
0	6.3	-Infinity
0	6.4	-Infinity
0	6.5	-Infinity
0	6.6	-Infinity
0	6.7	-Infinity
0	6.8	-Infinity
0	6.9	-Infinity
0	7.0	-Infinity
0	7.1	-Infinity
0	7.2	-Infinity
0	7.3	-Infinity
0	7.4	-Infinity
0	7.5	-Infinity
0	7.6	-Infinity
0	7.7	-Infinity
0	7.8	-Infinity
0	7.9	-Infinity
0	8.0	-Infinity
0	8.1	-Infinity
0	8.2	-Infinity
0	8.3	-Infinity
0	8.4	-Infinity
0	8.5	-Infinity
0	8.6	-Infinity
0	8.7	-Infinity
0	8.8	-Infinity
0	8.9	-Infinity
0	9.0	-Infinity
1	5.0	-Infinity
1	5.1	-Infinity
1	5.2	-Infinity
1	5.3	-Infinity
1	5.4	-Infinity
1	5.5	-Infinity
1	5.6	-Infinity
1	5.7	-Infinity
1	5.8	-Infinity
1	5.9	-3.7022374
1	6.0	-Infinity
1	6.1	-Infinity
1	6.2	-Infinity
1	6.3	-Infinity
1	6.4	-Infinity
1	6.5	-Infinity
1	6.6	-Infinity
1	6.7	-Infinity
1	6.8	-Infinity
1	6.9	-Infinity
1	7.0	-Infinity
1	7.1	-Infinity
1	7.2	-Infinity
1	7.3	-Infinity
1	7.4	-Infinity
1	7.5	-Infinity
1	7.6	-10.336476
1	7.7	-Infinity
1	7.8	-Infinity
1	7.9	-Infinity
1	8.0	-Infinity
1	8.1	-Infinity
1	8.2	-Infinity
1	8.3	-Infinity
1	8.4	-Infinity
1	8.5	-Infinity
1	8.6	-Infinity
1	8.7	-Infinity
1	8.8	-Infinity
1	8.9	-Infinity
1	9.0	-Infinity
2	5.0	-Infinity
2	5.1	-Infinity
2	5.2	-Infinity
2	5.3	-Infinity
2	5.4	-Infinity
2	5.5	-Infinity
2	5.6	-Infinity
2	5.7	-Infinity
2	5.8	-Infinity
2	5.9	-3.7022374
2	6.0	-Infinity
2	6.1	-Infinity
2	6.2	-Infinity
2	6.3	-Infinity
2	6.4	-Infinity
2	6.5	-Infinity
2	6.6	-Infinity
2	6.7	-Infinity
2	6.8	-Infinity
2	6.9	-Infinity
2	7.0	-Infinity
2	7.1	-Infinity
2	7.2	-Infinity
2	7.3	-7.136233
2	7.4	-9.646682
2	7.5	-Infinity
2	7.6	-6.9498386
2	7.7	-7.608492
2	7.8	-Infinity
2	7.9	-Infinity
2	8.0	-Infinity
2	8.1	-Infinity
2	8.2	-6.8955426
2	8.3	-Infinity
2	8.4	-Infinity
2	8.5	-Infinity
2	8.6	-Infinity
2	8.7	-Infinity
2	8.8	-Infinity
2	8.9	-Infinity
2	9.0	-Infinity
3	5.0	-Infinity
3	5.1	-Infinity
3	5.2	-Infinity
3	5.3	-Infinity
3	5.4	-Infinity
3	5.5	-33.489555
3	5.6	-Infinity
3	5.7	-Infinity
3	5.8	-Infinity
3	5.9	-3.7022374
3	6.0	-Infinity
3	6.1	-5.0871716
3	6.2	-Infinity
3	6.3	-Infinity
3	6.4	-5.959405
3	6.5	-6.117078
3	6.6	-6.4803987
3	6.7	-6.9608965
3	6.8	-7.215956
3	6.9	-7.312593
3	7.0	-8.0607605
3	7.1	-6.360797
3	7.2	-Infinity
3	7.3	-7.136233
3	7.4	-9.646682
3	7.5	-Infinity
3	7.6	-6.586672
3	7.7	-7.608492
3	7.8	-Infinity
3	7.9	-Infinity
3	8.0	-6.5746694
3	8.1	-Infinity
3	8.2	-6.8955426
3	8.3	-Infinity
3	8.4	-Infinity
3	8.5	-Infinity
3	8.6	-Infinity
3	8.7	-Infinity
3	8.8	-Infinity
3	8.9	-Infinity
3	9.0	-Infinity
4	5.0	-Infinity
4	5.1	-Infinity
4	5.2	-Infinity
4	5.3	-Infinity
4	5.4	-Infinity
4	5.5	-Infinity
4	5.6	-Infinity
4	5.7	-Infinity
4	5.8	-Infinity
4	5.9	-Infinity
4	6.0	-5.6943784
4	6.1	-5.0871716
4	6.2	-Infinity
4	6.3	-5.533321
4	6.4	-5.959405
4	6.5	-5.507486
4	6.6	-5.8889346
4	6.7	-6.489869
4	6.8	-6.9967732
4	6.9	-7.297721
4	7.0	-8.0607605
4	7.1	-6.360797
4	7.2	-Infinity
4	7.3	-7.136233
4	7.4	-9.646682
4	7.5	-Infinity
4	7.6	-6.586672
4	7.7	-7.608492
4	7.8	-Infinity
4	7.9	-Infinity
4	8.0	-6.5746694
4	8.1	-Infinity
4	8.2	-6.8955426
4	8.3	-Infinity
4	8.4	-Infinity
4	8.5	-Infinity
4	8.6	-Infinity
4	8.7	-Infinity
4	8.8	-Infinity
4	8.9	-Infinity
4	9.0	-Infinity
5	5.0	-Infinity
5	5.1	-Infinity
5	5.2	-Infinity
5	5.3	-Infinity
5	5.4	-Infinity
5	5.5	-Infinity
5	5.6	-Infinity
5	5.7	-Infinity
5	5.8	-Infinity
5	5.9	-Infinity
5	6.0	-Infinity
5	6.1	-Infinity
5	6.2	-Infinity
5	6.3	-5.533321
5	6.4	-5.959405
5	6.5	-5.507486
5	6.6	-5.8889346
5	6.7	-6.489869
5	6.8	-6.9967732
5	6.9	-7.297721
5	7.0	-8.0607605
5	7.1	-6.360797
5	7.2	-Infinity
5	7.3	-7.136233
5	7.4	-9.646682
5	7.5	-Infinity
5	7.6	-6.586672
5	7.7	-7.608492
5	7.8	-Infinity
5	7.9	-Infinity
5	8.0	-6.5746694
5	8.1	-Infinity
5	8.2	-6.8955426
5	8.3	-Infinity
5	8.4	-Infinity
5	8.5	-Infinity
5	8.6	-Infinity
5	8.7	-Infinity
5	8.8	-Infinity
5	8.9	-Infinity
5	9.0	-Infinity
6	5.0	-Infinity
6	5.1	-Infinity
6	5.2	-Infinity
6	5.3	-Infinity
6	5.4	-Infinity
6	5.5	-Infinity
6	5.6	-Infinity
6	5.7	-Infinity
6	5.8	-Infinity
6	5.9	-Infinity
6	6.0	-6.7315826
6	6.1	-Infinity
6	6.2	-Infinity
6	6.3	-7.1276064
6	6.4	-Infinity
6	6.5	-5.380349
6	6.6	-5.7143617
6	6.7	-6.194146
6	6.8	-6.9967732
6	6.9	-6.963014
6	7.0	-8.0607605
6	7.1	-6.360797
6	7.2	-Infinity
6	7.3	-7.136233
6	7.4	-9.646682
6	7.5	-Infinity
6	7.6	-6.586672
6	7.7	-7.608492
6	7.8	-Infinity
6	7.9	-Infinity
6	8.0	-6.5746694
6	8.1	-Infinity
6	8.2	-6.8955426
6	8.3	-Infinity
6	8.4	-Infinity
6	8.5	-Infinity
6	8.6	-Infinity
6	8.7	-Infinity
6	8.8	-Infinity
6	8.9	-Infinity
6	9.0	-Infinity
7	5.0	-Infinity
7	5.1	-Infinity
7	5.2	-Infinity
7	5.3	-Infinity
7	5.4	-Infinity
7	5.5	-Infinity
7	5.6	-Infinity
7	5.7	-Infinity
7	5.8	-Infinity
