normDistAlong	normRI	fraction
0.0375	3.25	6.067593E-5
0.0375	3.35	4.045062E-5
0.0375	3.45	2.022531E-5
0.0375	3.55	2.022531E-5
0.0375	3.65	2.022531E-5
0.0375	3.75	2.022531E-5
0.0375	3.85	6.067593E-5
0.0375	3.95	2.022531E-5
0.0375	4.05	0.0
0.0375	4.15	4.045062E-5
0.0375	4.25	2.022531E-5
0.0375	4.35	0.0
0.0375	4.45	0.0
0.0375	4.55	0.0
0.0375	4.65	0.0
0.0375	4.75	0.0
0.0375	4.85	2.022531E-5
0.0375	4.95	0.0
0.0625	0.05	0.09139901
0.0625	0.15	0.01056338
0.0625	0.25	0.013848334
0.0625	0.35	0.017927688
0.0625	0.45	0.027353143
0.0625	0.55	0.039462384
0.0625	0.65	0.0589574
0.0625	0.75	0.07823772
0.0625	0.85	0.09721745
0.0625	0.95	0.10698643
0.0625	1.05	0.1091764
0.0625	1.15	0.08731965
0.0625	1.25	0.06859756
0.0625	1.35	0.048415493
0.0625	1.45	0.037787702
0.0625	1.55	0.02776108
0.0625	1.65	0.022457918
0.0625	1.75	0.016210066
0.0625	1.85	0.012281003
0.0625	1.95	0.008094298
0.0625	2.05	0.0059902095
0.0625	2.15	0.00450876
0.0625	2.25	0.0027481965
0.0625	2.35	0.00225438
0.0625	2.45	0.0013955685
0.0625	2.55	9.446925E-4
0.0625	2.65	9.446925E-4
0.0625	2.75	3.4352456E-4
0.0625	2.85	1.9323257E-4
0.0625	2.95	1.2882172E-4
0.0625	3.05	1.5029199E-4
0.0625	3.15	8.588114E-5
0.0625	3.25	2.1470285E-5
0.0625	3.35	4.294057E-5
0.0625	3.45	2.1470285E-5
0.0625	3.55	4.294057E-5
0.0625	3.65	0.0
0.0625	3.75	2.1470285E-5
0.0625	3.85	0.0
0.0625	3.95	0.0
0.0625	4.05	0.0
0.0625	4.15	2.1470285E-5
0.0625	4.25	2.1470285E-5
0.0625	4.35	2.1470285E-5
0.0625	4.45	0.0
0.0625	4.55	0.0
0.0625	4.65	2.1470285E-5
0.0625	4.75	0.0
0.0625	4.85	0.0
0.0625	4.95	2.1470285E-5
0.0875	0.05	0.08589935
