2.4282975 , 0.46137652 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.15
2.1370616 , 0.40604168 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.3
1.838358 , 0.34928805 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.44999999999999996
2.2221968 , 0.4222174 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.0
1.9556928 , 0.3715816 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.15
1.7478576 , 0.33209294 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.3
1.532555 , 0.29118544 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.44999999999999996
4.0184407 , 0.7635038 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.0
3.4653468 , 0.65841585 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.15
2.9778843 , 0.565798 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.3
2.4953415 , 0.4741149 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.44999999999999996
3.4624352 , 0.6578627 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.0
2.992742 , 0.568621 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.15
2.5886803 , 0.49184927 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.3
2.1895385 , 0.41601232 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.44999999999999996
2.9064298 , 0.55222166 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.0
2.5201373 , 0.47882608 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.15
2.1994765 , 0.41790053 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.3
1.8837354 , 0.35790974 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.44999999999999996
2.350424 , 0.4465806 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.0
2.0475326 , 0.38903117 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.15
1.8102726 , 0.3439518 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.3
1.5779324 , 0.29980713 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Geological Insight , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.44999999999999996
3.889173 , 0.73894286 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),0.0,default,default,0.0
3.3372743 , 0.63408214 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),0.0,default,default,0.15
2.8105886 , 0.53401184 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),0.0,default,default,0.3
2.3076737 , 0.43845803 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),0.0,default,default,0.44999999999999996
3.3331676 , 0.6333018 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Characteristic (Dsr=Ds),33.3,default,default,0.0
